"activity" "subject" "variable" "stat" "avgMeasurement"
"LAYING" 10 "fBodyAccMag" "mean" -0.948874578787879
"LAYING" 10 "fBodyAccMag" "std" -0.941947884337374
"LAYING" 10 "fBodyBodyAccJerkMag" "mean" -0.96956652479798
"LAYING" 10 "fBodyBodyAccJerkMag" "std" -0.968786478989899
"LAYING" 10 "fBodyBodyGyroJerkMag" "mean" -0.974776405555556
"LAYING" 10 "fBodyBodyGyroJerkMag" "std" -0.973021561767677
"LAYING" 10 "fBodyBodyGyroMag" "mean" -0.951135497222222
"LAYING" 10 "fBodyBodyGyroMag" "std" -0.939458353353535
"LAYING" 10 "tBodyAccJerkMag" "mean" -0.976137970808081
"LAYING" 10 "tBodyAccJerkMag" "std" -0.969662608030303
"LAYING" 10 "tBodyAccMag" "mean" -0.951151911712121
"LAYING" 10 "tBodyAccMag" "std" -0.938173633606061
"LAYING" 10 "tBodyGyroJerkMag" "mean" -0.97961471020202
"LAYING" 10 "tBodyGyroJerkMag" "std" -0.973273430959596
"LAYING" 10 "tBodyGyroMag" "mean" -0.934147050151515
"LAYING" 10 "tBodyGyroMag" "std" -0.937303973070707
"LAYING" 10 "tGravityAccMag" "mean" -0.951151911712121
"LAYING" 10 "tGravityAccMag" "std" -0.938173633606061
"LAYING" 12 "fBodyAccMag" "mean" -0.966214270915625
"LAYING" 12 "fBodyAccMag" "std" -0.958551977615625
"LAYING" 12 "fBodyBodyAccJerkMag" "mean" -0.9815118459375
"LAYING" 12 "fBodyBodyAccJerkMag" "std" -0.98091827203125
"LAYING" 12 "fBodyBodyGyroJerkMag" "mean" -0.9832634246875
"LAYING" 12 "fBodyBodyGyroJerkMag" "std" -0.98252641271875
"LAYING" 12 "fBodyBodyGyroMag" "mean" -0.96529670465625
"LAYING" 12 "fBodyBodyGyroMag" "std" -0.9574509005625
"LAYING" 12 "tBodyAccJerkMag" "mean" -0.984671662875
"LAYING" 12 "tBodyAccJerkMag" "std" -0.9817352400625
"LAYING" 12 "tBodyAccMag" "mean" -0.96692536359375
"LAYING" 12 "tBodyAccMag" "std" -0.956982639815625
"LAYING" 12 "tBodyGyroJerkMag" "mean" -0.987144277875
"LAYING" 12 "tBodyGyroJerkMag" "std" -0.98248997875
"LAYING" 12 "tBodyGyroMag" "mean" -0.95674733634375
"LAYING" 12 "tBodyGyroMag" "std" -0.95587338940625
"LAYING" 12 "tGravityAccMag" "mean" -0.96692536359375
"LAYING" 12 "tGravityAccMag" "std" -0.956982639815625
"LAYING" 13 "fBodyAccMag" "mean" -0.929552553651376
"LAYING" 13 "fBodyAccMag" "std" -0.908951761314985
"LAYING" 13 "fBodyBodyAccJerkMag" "mean" -0.973460068379205
"LAYING" 13 "fBodyBodyAccJerkMag" "std" -0.972645167400612
"LAYING" 13 "fBodyBodyGyroJerkMag" "mean" -0.977208174740061
"LAYING" 13 "fBodyBodyGyroJerkMag" "std" -0.975763827094801
"LAYING" 13 "fBodyBodyGyroMag" "mean" -0.950568614495413
"LAYING" 13 "fBodyBodyGyroMag" "std" -0.934744260733945
"LAYING" 13 "tBodyAccJerkMag" "mean" -0.978190629877676
"LAYING" 13 "tBodyAccJerkMag" "std" -0.973506677767584
"LAYING" 13 "tBodyAccMag" "mean" -0.904193956504587
"LAYING" 13 "tBodyAccMag" "std" -0.905553559238532
"LAYING" 13 "tBodyGyroJerkMag" "mean" -0.98166111235474
"LAYING" 13 "tBodyGyroJerkMag" "std" -0.975895849541284
"LAYING" 13 "tBodyGyroMag" "mean" -0.921969839357798
"LAYING" 13 "tBodyGyroMag" "std" -0.933510580764526
"LAYING" 13 "tGravityAccMag" "mean" -0.904193956504587
"LAYING" 13 "tGravityAccMag" "std" -0.905553559238532
"LAYING" 18 "fBodyAccMag" "mean" -0.935037606802198
"LAYING" 18 "fBodyAccMag" "std" -0.91405039298544
"LAYING" 18 "fBodyBodyAccJerkMag" "mean" -0.968899423901099
"LAYING" 18 "fBodyBodyAccJerkMag" "std" -0.966959524587912
"LAYING" 18 "fBodyBodyGyroJerkMag" "mean" -0.972326800631868
"LAYING" 18 "fBodyBodyGyroJerkMag" "std" -0.970477873214286
"LAYING" 18 "fBodyBodyGyroMag" "mean" -0.939857008269231
"LAYING" 18 "fBodyBodyGyroMag" "std" -0.923173190027473
"LAYING" 18 "tBodyAccJerkMag" "mean" -0.975538830082418
"LAYING" 18 "tBodyAccJerkMag" "std" -0.968417660027473
"LAYING" 18 "tBodyAccMag" "mean" -0.927308188964286
"LAYING" 18 "tBodyAccMag" "std" -0.911415992857143
"LAYING" 18 "tBodyGyroJerkMag" "mean" -0.979101092802198
